Flow,Source IP,Source Port,Target IP,Target Port,Tx Bytes,Rx Bytes,Sent Packets,Received Packets,Lost Packets,Packet delivery ratio,Packet loss ratio,delaySum (s),jitterSum (s),timeLastRxPacket (s),TimeFirstRxPacket (s),timeLastRxPacket - timeFirstRxPacket (s),Delay (ms),Jitter (ms),Throughput (Mbps),
1,10.1.1.1,49153,10.1.1.2,9,108888,105948,187,182,5,97,2,69.103071,1.859917,10.297501,0.107359,10.190142,379.686813,10.270718,0.083177,
2,10.1.1.1,49154,10.1.1.3,9,183012,180072,318,313,5,98,1,106.707161,2.805232,14.818796,0.100252,14.718545,340.916933,8.990385,0.097875,
3,10.1.1.1,49155,10.1.1.4,9,100656,96540,173,166,7,95,4,62.748466,1.855291,10.319550,0.079578,10.239972,378.000000,11.242424,0.075422,
4,10.1.1.1,49156,10.1.1.5,9,203488,199960,355,349,6,98,1,105.155444,3.082270,15.400572,0.074696,15.325876,301.303725,8.856322,0.104378,
5,10.1.1.1,49157,10.1.1.6,9,77724,72432,134,125,9,93,6,46.144598,1.638598,10.239932,0.077134,10.162798,369.152000,13.209677,0.057017,
6,10.1.1.1,49158,10.1.1.7,9,184800,182448,324,320,4,98,1,114.416899,2.726296,13.275229,0.118588,13.156642,357.550000,8.545455,0.110939,
7,10.1.1.1,49159,10.1.1.8,9,104184,98892,179,170,9,94,5,62.212735,1.919200,10.354795,0.035708,10.319087,365.952941,11.355030,0.076667,
8,10.1.1.1,49160,10.1.1.9,9,189280,185752,330,324,6,98,1,89.329194,3.142114,15.910804,0.090932,15.819871,275.706790,9.727554,0.093934,
9,10.1.1.1,49161,10.1.1.10,9,188764,186948,332,328,4,98,1,117.227318,2.820484,13.280569,0.130739,13.149830,357.399390,8.623853,0.113734,
10,10.1.1.1,49162,10.1.1.11,9,78312,73608,135,127,8,94,5,46.620225,1.683557,10.445148,0.104844,10.340304,367.086614,13.357143,0.056948,
11,10.1.1.1,49163,10.1.1.12,9,189328,184624,330,322,8,97,2,79.469781,3.099233,15.990880,0.121209,15.869670,246.798137,9.654206,0.093070,
12,10.1.1.1,49164,10.1.1.13,9,82428,78312,142,135,7,95,4,49.277668,1.759401,10.234554,0.093333,10.141221,365.014815,13.126866,0.061777,
13,10.1.1.1,49165,10.1.1.14,9,189408,185880,332,326,6,98,1,107.156617,2.886168,14.442140,0.072384,14.369756,328.699387,8.880000,0.103484,
14,10.1.1.1,49166,10.1.1.15,9,190400,188048,333,329,4,98,1,103.173408,2.999426,15.167329,0.124179,15.043150,313.595745,9.143293,0.100005,
Average,,,,,147905,144247,257,251,6,97.558269,2.441731,82.767327,2.448371,,,12.774776,339.061664,10.355923,0.087745,
