Flow,Source IP,Source Port,Target IP,Target Port,Tx Bytes,Rx Bytes,Sent Packets,Received Packets,Lost Packets,Packet delivery ratio,Packet loss ratio,delaySum (s),jitterSum (s),timeLastRxPacket (s),TimeFirstRxPacket (s),timeLastRxPacket - timeFirstRxPacket (s),Delay (ms),Jitter (ms),Throughput (Mbps),
1,10.1.1.1,49153,10.1.1.2,4000,336640,336640,320,320,0,100,0,1.271755,0.061745,15.953712,0.065457,15.888255,3.971875,0.191223,0.169504,
2,10.1.1.1,49154,10.1.1.3,4000,336640,336640,320,320,0,100,0,2.558602,0.135724,15.958299,0.061581,15.896718,7.993750,0.423197,0.169414,
3,10.1.1.1,49155,10.1.1.4,4000,336640,336640,320,320,0,100,0,3.836880,0.163554,15.962094,0.053053,15.909042,11.987500,0.510972,0.169282,
4,10.1.1.1,49156,10.1.1.5,4000,336640,336640,320,320,0,100,0,5.123797,0.175661,15.966164,0.044700,15.921463,16.009375,0.548589,0.169150,
5,10.1.1.1,49157,10.1.1.6,4000,336640,336640,320,320,0,100,0,6.420953,0.197391,15.970377,0.049106,15.921271,20.062500,0.617555,0.169152,
6,10.1.1.1,49158,10.1.1.7,4000,336640,336640,320,320,0,100,0,7.726912,0.231919,15.974335,0.069250,15.905085,24.143750,0.724138,0.169324,
7,10.1.1.1,49159,10.1.1.8,4000,336640,336640,320,320,0,100,0,8.971691,0.239167,15.978186,0.027408,15.950778,28.034375,0.749216,0.168839,
8,10.1.1.1,49160,10.1.1.9,4000,336640,336640,320,320,0,100,0,10.287779,0.233091,15.981914,0.057261,15.924653,32.146875,0.730408,0.169116,
9,10.1.1.1,49161,10.1.1.10,4000,336640,336640,320,320,0,100,0,10.247634,0.237499,17.953712,2.040097,15.913615,32.021875,0.742947,0.169234,
Average,,,,,336640,336640,320,320,0,100.000000,0.000000,6.271778,0.186195,,,15.914542,19.596875,0.582027,0.169224,
