Flow,Source IP,Source Port,Target IP,Target Port,Tx Bytes,Rx Bytes,Sent Packets,Received Packets,Lost Packets,Packet delivery ratio,Packet loss ratio,delaySum (s),jitterSum (s),timeLastRxPacket (s),TimeFirstRxPacket (s),timeLastRxPacket - timeFirstRxPacket (s),Delay (ms),Jitter (ms),Throughput (Mbps),
1,10.1.1.1,49153,10.1.1.2,9,173676,170096,304,297,7,97,2,123.409767,2.863145,16.776608,0.137208,16.639400,415.518519,9.672297,0.081780,
2,10.1.1.1,49154,10.1.1.3,9,140692,131232,242,225,17,92,7,92.305628,2.452794,19.884330,0.126368,19.757962,410.244444,10.946429,0.053136,
3,10.1.1.1,49155,10.1.1.4,9,99532,90660,172,156,16,90,9,62.542806,2.292597,19.679525,0.109794,19.569730,400.910256,14.787097,0.037061,
4,10.1.1.1,49156,10.1.1.5,9,109528,99532,189,172,17,91,8,67.442059,2.327914,19.812656,0.104997,19.707659,392.104651,13.608187,0.040403,
5,10.1.1.1,49157,10.1.1.6,9,171268,161808,294,277,17,94,5,112.203886,2.835077,19.747646,0.107564,19.640082,405.064982,10.271739,0.065909,
6,10.1.1.1,49158,10.1.1.7,9,176304,172096,306,297,9,97,2,122.504524,2.825315,19.961713,0.149087,19.812626,412.471380,9.543919,0.069489,
7,10.1.1.1,49159,10.1.1.8,9,177528,172772,308,299,9,97,2,124.591372,2.887702,17.187335,0.095146,17.092189,416.692308,9.687919,0.080866,
8,10.1.1.1,49160,10.1.1.9,9,51264,45384,89,79,10,88,11,29.794194,1.560078,10.232543,0.120891,10.111652,377.139241,20.000000,0.035906,
9,10.1.1.1,49161,10.1.1.10,9,50088,44796,87,78,9,89,10,29.839878,1.626572,10.087802,0.167240,9.920562,382.551282,21.116883,0.036124,
10,10.1.1.1,49162,10.1.1.11,9,160096,150048,275,257,18,93,6,105.252503,2.732452,19.868329,0.134979,19.733350,409.540856,10.671875,0.060830,
11,10.1.1.1,49163,10.1.1.12,9,173032,162984,297,279,18,93,6,113.881994,2.757526,19.905157,0.151467,19.753690,408.175627,9.917266,0.066007,
12,10.1.1.1,49164,10.1.1.13,9,144220,135400,248,233,15,93,6,93.860409,2.629633,19.923236,0.123740,19.799496,402.832618,11.331897,0.054708,
13,10.1.1.1,49165,10.1.1.14,9,105412,97716,182,168,14,92,7,66.581149,2.424499,19.934314,0.102488,19.831827,396.315476,14.514970,0.039418,
14,10.1.1.1,49166,10.1.1.15,9,165388,156516,284,268,16,94,5,109.300139,2.750017,19.991328,0.153860,19.837469,407.835821,10.299625,0.063119,
15,10.1.1.1,49167,10.1.1.16,9,198220,193464,343,334,9,97,2,135.355242,3.066158,18.612583,0.034055,18.578529,405.254491,9.207207,0.083306,
16,10.1.1.1,49168,10.1.1.17,9,137752,131820,237,226,11,95,4,92.023335,2.572351,19.873541,0.156327,19.717214,407.181416,11.431111,0.053484,
17,10.1.1.1,49169,10.1.1.18,9,107764,98356,186,170,16,91,8,68.633026,2.417111,19.954274,0.176539,19.777735,403.723529,14.301775,0.039785,
18,10.1.1.1,49170,10.1.1.19,9,124228,117120,214,201,13,93,6,80.247571,2.420858,19.998111,0.160671,19.837440,399.238806,12.100000,0.047232,
19,10.1.1.1,49171,10.1.1.20,9,170392,165688,299,291,8,97,2,118.008670,3.007046,19.907760,0.092762,19.814998,405.525773,10.368966,0.066894,
Average,,,,,138757,131446,239,226,13,94.534680,5.465320,91.988324,2.549939,,,18.364927,403.069551,12.304166,0.056603,
