Flow,Source IP,Source Port,Target IP,Target Port,Tx Bytes,Rx Bytes,Sent Packets,Received Packets,Lost Packets,Packet delivery ratio,Packet loss ratio,delaySum (s),jitterSum (s),timeLastRxPacket (s),TimeFirstRxPacket (s),timeLastRxPacket - timeFirstRxPacket (s),Delay (ms),Jitter (ms),Throughput (Mbps),
1,10.1.1.1,49153,10.1.1.2,4000,336640,330328,320,314,6,98,1,125.777621,0.699116,2.002019,0.228734,1.773284,400.563694,2.233227,1.490243,
2,10.1.1.1,49154,10.1.1.3,4000,336640,89420,320,85,235,26,73,32.900346,0.322833,1.994007,0.192562,1.801446,387.058824,3.833333,0.397103,
3,10.1.1.1,49155,10.1.1.4,4000,336640,16832,320,16,304,5,95,3.333229,0.329239,0.482987,0.089723,0.393264,208.312500,21.933333,0.342406,
4,10.1.1.1,49156,10.1.1.5,4000,336640,17884,320,17,303,5,94,3.327418,0.361785,0.486898,0.049279,0.437619,195.705882,22.562500,0.326933,
5,10.1.1.1,49157,10.1.1.6,4000,336640,17884,320,17,303,5,94,3.431147,0.349942,0.490891,0.065088,0.425803,201.823529,21.812500,0.336005,
6,10.1.1.1,49158,10.1.1.7,4000,336640,9468,320,9,311,2,97,2.720950,0.152848,0.462529,0.269019,0.193510,302.222222,19.000000,0.391423,
7,10.1.1.1,49159,10.1.1.8,4000,336640,16832,320,16,304,5,95,3.008992,0.365685,0.466386,0.027408,0.438978,188.000000,24.333333,0.306749,
8,10.1.1.1,49160,10.1.1.9,4000,336640,14728,320,14,306,4,95,3.135789,0.280309,0.470276,0.118568,0.351708,223.928571,21.538462,0.335005,
9,10.1.1.1,49161,10.1.1.10,4000,336640,336640,320,320,0,100,0,1.284225,0.013207,3.598712,2.016919,1.581793,4.012500,0.040752,1.702574,
Average,,,,,336640,94446,320,89,230,28.055556,71.944444,19.879969,0.319440,,,0.821934,234.625303,15.254160,0.625382,
